,Date,Site,parameter,o3,co,so2,no2,pm10
7196,2019-11-01,170310119,42101,,0.4,,,
7197,2019-11-01,170310219,42602,,,,30.6,
7198,2019-11-01,170311016,81102,,,,,42.0
7199,2019-11-01,170311601,42401,,,1.5,,
7200,2019-11-01,170313103,42602,,,,31.2,
7201,2019-11-01,170314002,42602,,,,26.6,
7202,2019-11-01,170314201,44201,0.024,,,,
7203,2019-11-02,170310076,42401,,,1.0,,
7204,2019-11-02,170310119,42101,,0.4,,,
7205,2019-11-02,170310219,42602,,,,23.2,
7206,2019-11-02,170311016,81102,,,,,22.0
7207,2019-11-02,170311601,42401,,,1.1,,
7208,2019-11-02,170313103,42602,,,,27.0,
7209,2019-11-02,170314002,42602,,,,14.7,
7210,2019-11-02,170314201,44201,0.023,,,,
7211,2019-11-03,170310076,42401,,,1.7,,
7212,2019-11-03,170310119,42101,,0.4,,,
7213,2019-11-03,170310219,42602,,,,29.3,
7214,2019-11-03,170311016,81102,,,,,25.0
7215,2019-11-03,170311601,42401,,,1.9,,
7216,2019-11-03,170313103,42602,,,,27.7,
7217,2019-11-03,170314002,42602,,,,26.1,
7218,2019-11-03,170314201,44201,0.029,,,,
7219,2019-11-04,170310076,42401,,,1.6,,
7220,2019-11-04,170310119,42101,,0.3,,,
7221,2019-11-04,170310219,42602,,,,33.1,
7222,2019-11-04,170311016,81102,,,,,31.0
7223,2019-11-04,170311601,42401,,,2.0,,
7224,2019-11-04,170313103,42602,,,,34.5,
7225,2019-11-04,170314002,42602,,,,26.3,
7226,2019-11-04,170314201,44201,0.029,,,,
7227,2019-11-05,170310076,42401,,,1.9,,
7228,2019-11-05,170310119,42101,,0.5,,,
7229,2019-11-05,170310219,42602,,,,39.4,
7230,2019-11-05,170311601,42401,,,1.2,,
7231,2019-11-05,170313103,42602,,,,43.7,
